doclength,editsize,editnum,eps,rpe,clients,algorithm,time
100,10,160,0.9,-1,7,"Automerge",3.481
100,10,160,0.9,-1,7,"Sync9",12.309
100,10,160,0.1,-1,10,"Automerge",5.003
100,10,160,0.1,-1,10,"Sync9",0.976
100,10,160,0.25,-1,10,"Automerge",5.058
100,10,160,0.25,-1,10,"Sync9",1.526
100,10,160,0.5,-1,10,"Automerge",4.738
100,10,160,0.5,-1,10,"Sync9",5.605
100,10,160,0.75,-1,10,"Automerge",4.708
100,10,160,0.75,-1,10,"Sync9",18.594
100,10,160,0.9,-1,10,"Automerge",4.712
100,10,160,0.9,-1,10,"Sync9",18.847
100,10,10,0.1,-1,2,"Automerge",0.146
100,10,10,0.1,-1,2,"Sync9",0.032
100,10,10,0.25,-1,2,"Automerge",0.139
100,10,10,0.25,-1,2,"Sync9",0.022
100,10,10,0.5,-1,2,"Automerge",0.139
100,10,10,0.5,-1,2,"Sync9",0.022
100,10,10,0.75,-1,2,"Automerge",0.135
100,10,10,0.75,-1,2,"Sync9",0.027
100,10,10,0.9,-1,2,"Automerge",0.131
100,10,10,0.9,-1,2,"Sync9",0.021
100,10,10,0.1,-1,3,"Automerge",0.19
100,10,10,0.1,-1,3,"Sync9",0.04
100,10,10,0.25,-1,3,"Automerge",0.252
100,10,10,0.25,-1,3,"Sync9",0.026
100,10,10,0.5,-1,3,"Automerge",0.172
100,10,10,0.5,-1,3,"Sync9",0.026
100,10,10,0.75,-1,3,"Automerge",0.164
100,10,10,0.75,-1,3,"Sync9",0.025
100,10,10,0.9,-1,3,"Automerge",0.161
100,10,10,0.9,-1,3,"Sync9",0.028
100,10,10,0.1,-1,5,"Automerge",0.238
100,10,10,0.1,-1,5,"Sync9",0.045
100,10,10,0.25,-1,5,"Automerge",0.251
100,10,10,0.25,-1,5,"Sync9",0.033
100,10,10,0.5,-1,5,"Automerge",0.239
100,10,10,0.5,-1,5,"Sync9",0.034
100,10,10,0.75,-1,5,"Automerge",0.275
100,10,10,0.75,-1,5,"Sync9",0.035
100,10,10,0.9,-1,5,"Automerge",0.233
100,10,10,0.9,-1,5,"Sync9",0.034
100,10,10,0.1,-1,7,"Automerge",0.323
100,10,10,0.1,-1,7,"Sync9",0.048
100,10,10,0.25,-1,7,"Automerge",0.312
100,10,10,0.25,-1,7,"Sync9",0.046
100,10,10,0.5,-1,7,"Automerge",0.315
100,10,10,0.5,-1,7,"Sync9",0.049
100,10,10,0.75,-1,7,"Automerge",0.294
100,10,10,0.75,-1,7,"Sync9",0.053
100,10,10,0.9,-1,7,"Automerge",0.346
100,10,10,0.9,-1,7,"Sync9",0.049
100,10,10,0.1,-1,10,"Automerge",0.417
100,10,10,0.1,-1,10,"Sync9",0.068
100,10,10,0.25,-1,10,"Automerge",0.415
100,10,10,0.25,-1,10,"Sync9",0.076
100,10,10,0.5,-1,10,"Automerge",0.417
100,10,10,0.5,-1,10,"Sync9",0.104
100,10,10,0.75,-1,10,"Automerge",0.437
100,10,10,0.75,-1,10,"Sync9",0.078
100,10,10,0.9,-1,10,"Automerge",0.393
100,10,10,0.9,-1,10,"Sync9",0.075
100,10,20,0.1,-1,2,"Automerge",0.233
100,10,20,0.1,-1,2,"Sync9",0.062
100,10,20,0.25,-1,2,"Automerge",0.228
100,10,20,0.25,-1,2,"Sync9",0.04
100,10,20,0.5,-1,2,"Automerge",0.225
100,10,20,0.5,-1,2,"Sync9",0.045
100,10,20,0.75,-1,2,"Automerge",0.213
100,10,20,0.75,-1,2,"Sync9",0.038
100,10,20,0.9,-1,2,"Automerge",0.254
100,10,20,0.9,-1,2,"Sync9",0.039
100,10,20,0.1,-1,3,"Automerge",0.293
100,10,20,0.1,-1,3,"Sync9",0.071
100,10,20,0.25,-1,3,"Automerge",0.296
100,10,20,0.25,-1,3,"Sync9",0.052
100,10,20,0.5,-1,3,"Automerge",0.267
100,10,20,0.5,-1,3,"Sync9",0.055
100,10,20,0.75,-1,3,"Automerge",0.259
100,10,20,0.75,-1,3,"Sync9",0.058
100,10,20,0.9,-1,3,"Automerge",0.257
100,10,20,0.9,-1,3,"Sync9",0.057
100,10,20,0.1,-1,5,"Automerge",0.475
100,10,20,0.1,-1,5,"Sync9",0.08
100,10,20,0.25,-1,5,"Automerge",0.404
100,10,20,0.25,-1,5,"Sync9",0.076
100,10,20,0.5,-1,5,"Automerge",0.387
100,10,20,0.5,-1,5,"Sync9",0.09
100,10,20,0.75,-1,5,"Automerge",0.363
100,10,20,0.75,-1,5,"Sync9",0.112
100,10,20,0.9,-1,5,"Automerge",0.367
100,10,20,0.9,-1,5,"Sync9",0.136
100,10,20,0.1,-1,7,"Automerge",0.513
100,10,20,0.1,-1,7,"Sync9",0.094
100,10,20,0.25,-1,7,"Automerge",0.512
100,10,20,0.25,-1,7,"Sync9",0.099
100,10,20,0.5,-1,7,"Automerge",0.492
100,10,20,0.5,-1,7,"Sync9",0.151
100,10,20,0.75,-1,7,"Automerge",0.524
100,10,20,0.75,-1,7,"Sync9",0.132
100,10,20,0.9,-1,7,"Automerge",0.472
100,10,20,0.9,-1,7,"Sync9",0.147
100,10,20,0.1,-1,10,"Automerge",0.675
100,10,20,0.1,-1,10,"Sync9",0.127
100,10,20,0.25,-1,10,"Automerge",0.712
100,10,20,0.25,-1,10,"Sync9",0.273
100,10,20,0.5,-1,10,"Automerge",0.66
100,10,20,0.5,-1,10,"Sync9",0.21
100,10,20,0.75,-1,10,"Automerge",0.673
100,10,20,0.75,-1,10,"Sync9",0.193
100,10,20,0.9,-1,10,"Automerge",0.643
